readable_name,name,country_specific_code,country_2_letter
Aalsmeer,Aalsmeer,0358,NL
Aalten,Aalten,0197,NL
Aarau District,Bezirk Aarau,1901,CH
Aarhus Municipality,Aarhus,751,DK
Aaste,Asten,0743,NL
Ab Band,آب بند,1113,AF
Ab Kamari,آب کمری,3102,AF
Aba - Asimeuru,Aba - Asimeuru,0722,SB
Aba North,Aba North,0101,NG
Aba South,Aba South,0102,NG
Aba Zangzu Qiangzu Zizhizhou,阿坝藏族羌族自治州,5132,CN
Abaclia,Abaclia,1210000,MD
Abadam,Abadam,0801,NG
Abadan,آبادان,1301,IR
Abadeh,آباده,1701,IR
Abadia de Goias,Abadia de Goiás,5200050,BR
Abadia dos Dourados,Abadia dos Dourados,3100104,BR
Abadiania,Abadiânia,5200100,BR
Abadla,Abadla,DZ007001,DZ
Abaete,Abaeté,3100203,BR
Abaetetuba,Abaetetuba,1500107,BR
Abai,Abaí,0607,PY
Abaiara,Abaiara,2300101,BR
Abaira,Abaíra,2900108,BR
Abaji,Abaji,1501,NG
Abak,Abak,0301,NG
Abakaliki,Abakaliki,1101,NG
Abala,Abala,0901,CG
Abala Department,Abala,6001,NE
Abala Municipality,Abalá,31001,MX
Abalak Department,Abalak,052,NE
Abalessa,Abalessa,DZ041001,DZ
Abana,Abana,371101,TR
Abancay Province,Abancay,0301,PE
Abanga-Bigne Department,Abanga-Bigné,301,GA
Abangares,Abangares,507,CR
Abanskiy municipal'nyy rayon,Абанский муниципальный район,04201,RU
Abare,Abaré,2900207,BR
Abarkuh,ابركوه,3101,IR
Abary-Mahaicony,Abary-Mahaicony,0508,GY
Abasha,აბაში,0902,GE
Abashiri-shi,網走市,012114,JP
Abasolo,Abasolo,05001,MX
Abasolo,Abasolo,11001,MX
Abasolo,Abasolo,28001,MX
Abasolo Municipality,Abasolo,19001,MX
Abassiya,Abassiya,1218,SD
Abatia,Abatiá,4100103,BR
Abatskiy municipal'nyy rayon,Абатский муниципальный район,71203,RU
Abau District,Abau,0301,PG
Abava Parish,Abavas pagasts,0051400,LV
Abay audany,Абай ауданы,3532,KZ
Abay audany,Абай ауданы,6332,KZ
Abay audany,Абай ауданы,7911,KZ
Abazinskiy municipal'nyy rayon,Абазинский муниципальный район,91201,RU
Abba,Abba,1101,CF
Abbas Abad,عباس آباد,0224,IR
Abbazia,Opatija,03026,HR
Abbeville County,Abbeville,45001,US
Abdanan,آبدانان,0601,IR
Abdeen,قسم عابدين,0109,EG
Abdelkader Azil,Metkaouak,DZ006036,DZ
Abdelmalek Ramdane,Abdelmalek Ramdane,DZ029001,DZ
Abdi,Abdi,161,TD
Abdily,العبدلي,422,KW
Abdily - Sekherbriyat,العبدلي و صخيبريات,736,KW
Abdon Batista,Abdon Batista,4200051,BR
Abdulinskiy gorodskoy okrug,Абдулинский городской округ,53203,RU
Abdulla Al-Salem,ضاحيه عبد الله السالم,110,KW
Abdullah Al Mubarak - West Jleeb Al-Shiyoukh,عبدالله المبارك- غرب جليب الشيوخ,438,KW
Abdurahmoni Jomi,Абдураҳмони Ҷомӣ,0329,TJ
Abejones,Abejones,20001,MX
Abejorral,Abejorral,05002,CO
Abeka-Lapaz,Okaikwei North,0324,GH
Abel Figueiredo,Abel Figueiredo,1500131,BR
Abel Iturralde Province,Abel Iturralde,0215,BO
Abelardo Luz,Abelardo Luz,4200101,BR
Abengourou,Indénié-Djuablin,19,CI
Abeokuta North,Abeokuta North,2801,NG
Abeokuta South,Abeokuta South,2802,NG
Aberdeen,Aberdeen City,S12000033,GB
Aberdeenshire,Aberdeenshire,S12000034,GB
Abertawe,Swansea,W06000011,GB
Abeïbara Cercle,Abeibara,41,ML
Abha,ابها,0601,SA
Abhar,ابهر,1401,IR
Abi,Abi,0901,NG
Abi Youcef,Abi Youcef,DZ047001,DZ
Abidjan,Autonome d' Abidjan,01,CI
Abiemnom County,Abiemnhom,1101,SS
Abiko-shi,我孫子市,122220,JP
Abinskiy municipal'nyy rayon,Абинский муниципальный район,03201,RU
Abira-cho,安平町,015857,JP
Abitanti,Abitanti,050001,SI
Ablekuma Central Municipal District,Ablekuma Central,0322,GH
Ablekuma North Municipal District,Ablekuma North,0323,GH
Ablekuma West Municipal District,Ablekuma West,0321,GH
Abnub,مركز ابنوب,2504,EG
Aboh Mbaise,Aboh Mbaise,1701,NG
Abomey,Abomey,121,BJ
Abomey-Calavi,Abomey-Calavi,031,BJ
Aboriginal Shire of Cherbourg,Cherbourg,32330,AU
Aboriginal Shire of Doomadgee,Doomadgee,32770,AU
Aboriginal Shire of Hope Vale,Hope Vale,33830,AU
Aboriginal Shire of Kowanyama,Kowanyama,34420,AU
Aboriginal Shire of Lockhart River,Lockhart River,34570,AU
Aboriginal Shire of Mapoon,Mapoon,34830,AU
Aboriginal Shire of Napranum,Napranum,35670,AU
Aboriginal Shire of Palm Island,Palm Island,35790,AU
Aboriginal Shire of Pormpuraaw,Pormpuraaw,36070,AU
Aboriginal Shire of Woorabinda,Woorabinda,37550,AU
Aboriginal Shire of Wujal Wujal,Wujal Wujal,37570,AU
Aboriginal Shire of Yarrabah,Yarrabah,37600,AU
Abou El Hassen,Abou El Hassen,DZ014001,DZ
Aboudeïa Department,Aboudeïa,171,TD
Abra,Abra,1400100000,PH
Abrahamsdorf,Abram,027070,RO
Abrantes,Abrantes,1401,PT
Abre Campo,Abre Campo,3100302,BR
Abrego,Ábrego,54003,CO
Abreu e Lima,Abreu e Lima,2600054,BR
Abreulandia,Abreulândia,1700251,BR
Abreus,Abreus,2708,CU
Abriaqui,Abriaquí,05004,CO
Abrud,Abrud,001151,RO
Abrămuț,Petreu,027169,RO
Abs,عبس,1704,YE
Abtouyour,Abtouyour,061,TD
Abu Al Aish,أبو العيش,302,BH
Abu Al Matameer,مركز ابو المطامير,1803,EG
Abu Al-Khaseeb,ابي الخصيب,0601,IQ
Abu Arish,ابو عريش,1003,SA
Abu Buham,أبو بهام,401,BH
Abu Dhabi,أبوظبي,01011,AE
Abu Fatera - Coast Strip B,ضاحية أبو فطيرة - الشريط الساحلي ب,915,KW
Abu Ftaira,ضاحية ابو فطيره,326,KW
Abu Halifa,ابو حليفه,307,KW
Abu Hamad,مركز ابو حماد,1304,EG
Abu Hamad,Abu Hamad,0201,SD
Abu Homos,مركز ابو حمص,1804,EG
Abu Hujar,Abu Hujar,0805,SD
Abu Jabrah,Abu Jabrah,1515,SD
Abu Jubayhah,Abu Jubayhah,1201,SD
Abu Kamal,البوكمال,0902,SY
Abu Karinka,Abu Karinka,1516,SD
Abu Kebir,مركز ابو كبير,1305,EG
Abu Kershola,Abu Kershola,0813,SD
Abu Khurjeen - Al Subayhiyah,ابو خرجين و الصبيحية,717,KW
Abu Korkas,مركز ابو قرقاص,2404,EG
Abu Redis,قسم ابو رديس,3503,EG
Abu Saiba'a,أبو صيبع,402,BH
Abu Simbel,مركز ابو سمبل,2807,EG
Abu Tesht,مركز ابو طشتت,2703,EG
Abu Tig,مركز ابو تيج,2505,EG
Abu Zabad,Abu Zabad,1108,SD
Abu-cho,阿武町,355020,JP
Abua/Odu,Abua,3301,NG
Abuakwa North Municipal,Abuakwa North,0530,GH
Abuakwa South Municipal,Abuakwa South,0513,GH
Abudwak District,Cabudwaaq,0601,SO
Abumusa,ابوموسي,2901,IR
Abuna Province,Abuná,0904,BO
Abura-Asebu-Kwamankese District,Abura-Asebu-Kwamankese,0203,GH
Abyei,Abyei,1202,SD
Abyei,Abyei PCA area,1811,SD
Abyek,آبيك,1801,IR
Abyyskiy municipal'nyy rayon,Абыйский муниципальный район,98201,RU
Abzelilovskiy rayon,Абзелиловский район,80201,RU
Acacias,Acacías,50006,CO
Acacoyagua,Acacoyagua,07001,MX
Acadia Parish,Acadia,22001,US
Acahay,Acahay,0902,PY
Acaiaca,Acaiaca,3100401,BR
Acajete,Acajete,21001,MX
Acajete Municipality,Acajete,30001,MX
Acajutiba,Acajutiba,2900306,BR
Acajutla,Acajutla,0301,SV
Acala,Acala,07002,MX
Acambay,Acambay de Ruíz Castañeda,15001,MX
Acanceh Municipality,Acanceh,31002,MX
Acandi,Acandí,27006,CO
Acapetahua,Acapetahua,07003,MX
Acaponeta Municipality,Acaponeta,18001,MX
Acapulco de Juarez Municipality,Acapulco de Juárez,12001,MX
Acaracu,Acaraú,2300200,BR
Acarape,Acarape,2300150,BR
Acari,Acari,2400109,BR
Acará,Acará,1500206,BR
Acatenango,Acatenango,0411,GT
Acateno Municipality,Acateno,21002,MX
Acatepec Municipality,Acatepec,12076,MX
Acatic,Acatic,14001,MX
Acatlan Municipality,Acatlán,13001,MX
Acatlan Municipality,Acatlán,21003,MX
Acatlan de Juarez Municipality,Acatlán de Juárez,14002,MX
Acatlan de Perez Figueroa,Acatlán de Pérez Figueroa,20002,MX
Acatlán,Acatlán,30002,MX
Acatzingo Municipality,Acatzingo,21004,MX
Acauã,Acauã,2200053,BR
Acaxochitlán,Acaxochitlán,13002,MX
Acayucan Municipality,Acayucan,30003,MX
Accomack County,Accomack,51001,US
Accra,Accra,0304,GH
Acegua,Aceguá,4300034,BR
Aceh Barat,Aceh Barat,1107,ID
Aceh Barat Daya,Aceh Barat Daya,1112,ID
Aceh Besar,Aceh Besar,1108,ID
Aceh Jaya,Aceh Jaya,1116,ID
Aceh Selatan,Aceh Selatan,1103,ID
Aceh Singkil,Aceh Singkil,1102,ID
Aceh Tamiang,Aceh Tamiang,1114,ID
Aceh Tengah,Aceh Tengah,1106,ID
Aceh Tenggara,Aceh Tenggara,1104,ID
Aceh Timur,Aceh Timur,1105,ID
Aceh Utara,Aceh Utara,1111,ID
Acevedo,Acevedo,41006,CO
Acevedo,Acevedo,1501,VE
Achacha,Achaacha,DZ029002,DZ
Achaguas,Achaguas,0401,VE
Acheleia,Αχέλεια,6014,CY
Acheritou,Αχερίτου,3114,CY
Acheritou,Αχερίτου,3114,XS
Achham,Achham,705,NP
Achhoy-Martanovskiy municipal'nyy rayon,Ачхой-Мартановский муниципальный район,96202,RU
Achi-mura,阿智村,204072,JP
Achiase District,Achiase,0527,GH
Achin,اچین,0615,AF
Achinskiy municipal'nyy rayon,Ачинский муниципальный район,04203,RU
Achitskiy gorodskoy okrug,Ачитский городской округ,65204,RU
Achna,Άχνα,3111,CY
Achna,Άχνα,3111,XS
Achtkarspelen,Achtkarspelen,0059,NL
Achuapa,Achuapa,3505,NI
Achí,Achí,13006,CO
Acigol,Acıgöl,501749,TR
Acipayam,Acıpayam,201102,TR
Acobamba Province,Acobamba,0902,PE
Acolman Municipality,Acolman,15002,MX
Acomayo Province,Acomayo,0802,PE
Aconchi,Aconchi,26001,MX
Acopiara,Acopiara,2300309,BR
Acorizal,Acorizal,5100102,BR
Acosta,Acosta,112,CR
Acosta,Acosta,1101,VE
Acosta,Acosta,1601,VE
Acoyapa,Acoyapa,6535,NI
Acrelandia,Acrelândia,1200013,BR
Acreuna,Acreúna,5200134,BR
Acteopan Municipality,Acteopan,21005,MX
Actopan,Actopan,13003,MX
Actopan Municipality,Actopan,30004,MX
Acuamanala de Miguel Hidalgo Municipality,Acuamanala de Miguel Hidalgo,29022,MX
Acuitzio,Acuitzio,16001,MX
Acul-du-Nord Arrondissement,Acul Du Nord,HTA20302,HT
Acula,Acula,30005,MX
Aculco Municipality,Aculco,15003,MX
Acultzingo Municipality,Acultzingo,30006,MX
Acuña,Acuña,05002,MX
Acámbaro,Acámbaro,11002,MX
Acâș,Acâș,136713,RO
Acățari,Acățari,114970,RO
Ad Dabbah,Ad Dabbah,0101,SD
Ad Dahi,الضحي,1809,YE
Ad Dair,الدائر,1010,SA
Ad Dali,Ad Dali,0806,SD
Ad Dali',الضالع,3006,YE
Ad Damar,Ad Damar,0207,SD
Ad Dammam,الدمام,0501,SA
Ad Darb,الدرب,1014,SA
Ad Dilam,الدلم,0121,SA
Ad Dinder,Ad Dinder,0801,SD
Ad Diriyah,الدرعيه,0102,SA
Ad Dis,الديس,1914,YE
Ad Diwaim,Ad Diwaim,0901,SD
Ad Du'ayn,Ad Du'ayn,1502,SD
Ad Duqm,الدقم,0703,OM
Ad Durayhimi,الدريهمي,1814,YE
Ad Duwadimi,الدوادمى,0104,SA
Ad Turres,Crikvenica,00531,HR
Ada,Ада,80012,RS
Ada County,Ada,16001,US
Ada East District,Ada East,0310,GH
Ada West District,Ada West,0316,GH
Adaatsag,Адаацаг,1001,MN
Adachi-ku,足立区,131211,JP
Adado District,Cadaado,0602,SO
Adailiya,العديليه,202,KW
Adair,Adair,29001,US
Adair County,Adair,19001,US
Adair County,Adair,21001,US
Adair County,Adair,40001,US
Adaklu District,Adaklu,0421,GH
Adaklı,Adaklı,121750,TR
"Adalar, Istanbul",Adalar,341103,TR
Adale District,Cadale,1403,SO
Adam,ادم,0504,OM
Adam,أضم,0213,SA
Adam-Klisi,Adamclisi,060883,RO
Adamantina,Adamantina,3500105,BR
Adamovo,Adamovo,134001,SI
Adamovskiy municipal'nyy rayon,Адамовский муниципальный район,53204,RU
Adams County,Adams,08001,US
Adams County,Adams,16003,US
Adams County,Adams,17001,US
Adams County,Adams,18001,US
Adams County,Adams,19003,US
Adams County,Adams,28001,US
Adams County,Adams,31001,US
Adams County,Adams,38001,US
Adams County,Adams,39001,US
Adams County,Adams,42001,US
Adams County,Adams,53001,US
Adams County,Adams,55001,US
Adan Yabaal,Adan Yabaal,1401,SO
Adancata,Adâncata,100754,RO
Adancata,Adâncata,146799,RO
Adansi Asokwa District,Adansi Asokwa,0635,GH
Adansi North District,Adansi North,0606,GH
Adansi South District,Adansi South,0604,GH
Adapazarı,Adapazarı,542068,TR
Adare–Rathkeale,Adare-Rathkeale,5615002,IE
Adavi,Adavi,2301,NG
Add,ມ. ແອດ,0708,LA
Addis Ababa,Region 14,1001,ET
Addison County,Addison,50001,US
Adekar,Adekar,DZ008001,DZ
Adelaide,Adelaide,40070,AU
Adelaide Hills,Adelaide Hills,40120,AU
Adelaide Plains,Adelaide Plains,40150,AU
Adelandia,Adelândia,5200159,BR
Adenta,Adenta,0305,GH
Aderbissinat Department,Aderbissinat,1001,NE
Adergas,Adergas,012001,SI
Adh Dhlia'ah,الضليعه,1922,YE
Adhari,عذاري,403,BH
Adi Keih,Adi Keyh,201,ER
Adi Quala Subregion,Adi Quala,202,ER
Adi Tekelezan Subregion,Adi Tekelezan,101,ER
Adidome,Central Tongu,0406,GH
Adigeni,ადიგენი,1001,GE
Adila,Adila,1503,SD
Adilabad district,Adilabad,501,IN
Adilcevaz,Adilcevaz,131106,TR
Adiyaman,Adıyaman,021105,TR
Adja-Ouere,Adja-Ouèrè,111,BJ
Adjarra,Adjarra,101,BJ
Adjohoun,Adjohoun,102,BJ
Adjud,Adjud,174860,RO
Adjuntas,Adjuntas,72001,PR
Adlešiči,Adlešiči,017001,SI
Adliya,العدلية,101,BH
Adm. Jakarta Barat,Kota Jakarta Barat,3174,ID
Adm. Jakarta Pusat,Kota Jakarta Pusat,3173,ID
Adm. Jakarta Selatan,Kota Jakarta Selatan,3171,ID
Adm. Jakarta Timur,Kota Jakarta Timur,3172,ID
Adm. Jakarta Utara,Kota Jakarta Utara,3175,ID
Adm. Kep. Seribu,Kepulauan Seribu,3101,ID
Administrative City of Djibloho,Djibloho,28,GQ
Administrative Zone 1,Awsi Rasu,0201,ET
Administrative Zone 2,Kilbet Rasu,0202,ET
Administrative Zone 3,Gabi Rasu,0203,ET
Administrative Zone 4,Fanti Rasu,0204,ET
Administrative Zone 5,Hari Rasu,0205,ET
Admiralteyskiy,Адмиралтейский,40262,RU
Ado,Ado,0701,NG
Ado Ekiti,Ado Ekiti,1301,NG
Ado Odo-Ota,Ado-Odo,2803,NG
Adobha District,Adobha,601,ER
Adolfo,Adolfo,3500204,BR
Adolfo Alsina,Adolfo Alsina,62007,AR
Adolfo Alsina Partido,Adolfo Alsina,06007,AR
Adolfo Gonzales Chaves,Adolfo Gonzales Chaves,06014,AR
Adrar,Adrar,DZ001001,DZ
Adraskan,ادرسکن,3209,AF
Adrianopolis,Adrianópolis,4100202,BR
Adrijanci,Adrijanci,031001,SI
Adumino-shi,安曇野市,202207,JP
Adunați,Adunați,131899,RO
Adunații-Copăceni,Adunații-Copăceni,100781,RO
Adustina,Adustina,2900355,BR
Adyge-Habl'skiy municipal'nyy rayon,Адыге-Хабльский муниципальный район,91203,RU
Adămuș,Adămuș,115076,RO
Adășeni,Adășeni,040035,RO
Aek Phnum District,Aek Phnum,0205,KH
Aele Fou,Aele Fou,20512,WS
Aeraifjan,عريفجان,909,KW
Aest Ayrshire,East Ayrshire,S12000008,GB
Afa'bet,Afabet,602,ER
Afadzato South District,Afadzato South,0423,GH
Afanas'evskiy municipal'nyy rayon,Афанасьевский муниципальный район,33203,RU
Afanteia-Ornithi,Αφάντεια-Ορνίθι,3232,CY
Afaq,عفك,0901,IQ
Afder,Afder,0508,ET
Afega,Afega,20602,WS
Affoltern,Bezirk Affoltern,0101,CH
Afgooye,Afgooye,1501,SO
Afia,Afia,21106,WS
Afiamalu East,Afiamalu East,10232,WS
Afiamalu West,Afiamalu West,10233,WS
Afif,عفيف,0112,SA
Afigya Kwabre,Afigya Kwabre North,0619,GH
Afigya Kwabre South District,Afigya Kwabre South,0632,GH
Afijio,Afijio,3101,NG
Afikpo North,Afikpo North,1102,NG
Afikpo South,Afikpo South,1103,NG
Aflah Al Yaman,افلح اليمن,1714,YE
Aflah Ash Shawm,افلح الشام,1710,YE
Aflou,Aflou,DZ025001,DZ
Afmadow District,Afmadow,1001,SO
Afogados da Ingazeira,Afogados da Ingazeira,2600104,BR
Afolau,Afolau,21109,WS
Afonso Bezerra,Afonso Bezerra,2400307,BR
Afonso Claudio,Afonso Cláudio,3200102,BR
Afonso Cunha,Afonso Cunha,2100105,BR
Afranio,Afrânio,2600203,BR
Afrin,عفرين,0203,SY
Aftout,باركيول,031,MR
Afumați,Afumați,070520,RO
Afumați,Afumați,100834,RO
Afuá,Afuá,1500305,BR
Afyon,Afyonkarahisar,031108,TR
Afşin,Afşin,461107,TR
Ag Geneina,Ag Geneina,1401,SD
Aga,مركز اجا,1204,EG
Aga,Brestovăț,156151,RO
Aga-machi,阿賀町,153851,JP
Agadir-Ida -Ou-Tanane,أكادير  إدا وتنان,001,MA
Agago District,Agago,7101,UG
Agaie,Agaie,2701,NG
Agam,Agam,1307,ID
Agana,Hagåtña,6601034800,GU
Agana Heights,Agana Heights,6601004650,GU
Agano-shi,阿賀野市,152234,JP
Agapia,Agapia,121108,RO
Agapovskiy municipal'nyy rayon,Агаповский муниципальный район,75203,RU
Agar Malwa district,Agar Malwa,667,IN
Agareb,عقارب,3457,TN
Agat,Agat,6601007250,GU
Agatash,Agatash,0702,GY
Agatu,Agatu,0702,NG
Agbangnizoun,Agbangnizoun,122,BJ
Agege,Agege,2501,NG
Agematsu-machi,上松町,204226,JP
Ageo-shi,上尾市,112194,JP
Agew Awi Zone,Agew Awi,0309,ET
Aghajaree,آغاجاري,0626,IR
Aghbal,Aghbal,DZ045001,DZ
Aghbalou,Aghbalou,DZ012001,DZ
Aghireșu,Aghireșu,055473,RO
Aghlal,Aghlal,DZ003001,DZ
Aghni-Goughrane,Aghni Goughran,DZ047002,DZ
Aghrib,Aghrib,DZ047003,DZ
Aghwar Janoobiyah,الأغوار الجنوبية,3104,JO
Aghwar Shamaliyah,الاغوار الشمالية,2105,JO
Agia (Agia Kepir),Αγιά (Aγιά Κεπίρ),1124,CY
Agia Anna,Αγία Άννα,4211,CY
Agia Eirini Keryneias,Αγία Ειρήνη Κερύνειας,2128,CY
Agia Eirini Lefkosias,Αγία Ειρήνη Λευκωσίας,1402,CY
Agia Marina Chrysochous,Αγία Μαρίνα Χρυσοχούς,6365,CY
Agia Marina Kelokedaron,Αγία Μαρίνα Κελοκεδάρων,6221,CY
Agia Marina Skyllouras,Αγία Μαρίνα Σκυλλούρας,1246,CY
Agia Marina Xyliatou,Αγία Μαρίνα Ξυλιάτου,1324,CY
Agia Marinouda,Αγία Μαρινούδα,6012,CY
Agia Napa,Αγία Νάπα,3100,CY
Agia Trias,Αγία Τριάς,3353,CY
Agia Varvara Lefkosias,Αγία Βαρβάρα Λευκωσίας,1103,CY
Agia Varvara Pafou,Αγία Βαρβάρα Πάφου,6106,CY
Agig,Agig,0310,SD
Agigea,Agigea,060570,RO
Aginskiy rayon,Агинский район,76202,RU
Agioi Iliofotoi,Άγιοι Ηλιόφωτοι,1325,CY
Agioi Trimithias,Άγιοι Τριμιθιάς,1240,CY
Agioi Vavatsinias,Άγιοι Βαβατσινιάς,4318,CY
Agios Amvrosios Keryneias,Άγιος Αμβρόσιος Κερύνειας,2201,CY
Agios Amvrosios Lemesou,Άγιος Αμβρόσιος Λεμεσού,5305,CY
Agios Andronikos Karpasias,Άγιος Ανδρόνικος Καρπασίας,3348,CY
Agios Andronikos Trikomou,Άγιος Ανδρόνικος Tρικώμου,3311,CY
Agios Athanasios,Άγιος Αθανάσιος,5012,CY
Agios Chariton,Άγιος Χαρίτων,3238,CY
Agios Dimitrianos,Άγιος Δημητριανός,6301,CY
Agios Dimitrios,Άγιος Δημήτριος,5340,CY
Agios Dometios,Άγιος Δομέτιος,1010,CY
Agios Efstathios,Άγιος Ευστάθιος,3333,CY
Agios Epifanios Oreinis,Άγιος Επιφάνιος Ορεινής,1206,CY
Agios Epifanios Soleas,Άγιος Επιφάνιος Σολέας,1414,CY
Agios Epiktitos,Άγιος Επίκτητος,2205,CY
Agios Ermolaos,Άγιος Ερμόλαος,2120,CY
Agios Georgios Ammochostou,Άγιος Γεώργιος Αμμοχώστου,3132,CY
Agios Georgios Kafkallou,Άγιος Γεώργιος Καυκάλλου,1321,CY
Agios Georgios Keryneias,Άγιος Γεώργιος Κερύνειας,2218,CY
Agios Georgios Lemesou,Άγιος Γεώργιος Λεμεσού,5310,CY
Agios Georgios Pafou,Άγιος Γεώργιος Πάφου,6205,CY
Agios Georgios Soleas,Άγιος Γεώργιος Σολέας,1431,CY
Agios Iakovos,Άγιος Ιάκωβος,3310,CY
Agios Ilias,Άγιος Ηλίας,3322,CY
Agios Ioannis Lemesou,Άγιος Ιωάννης Λεμεσού,5361,CY
Agios Ioannis Malountas,Άγιος Ιωάννης Μαλούντας,1211,CY
Agios Ioannis Pafou,Άγιος Ιωάννης Πάφου,6219,CY
Agios Ioannis Selemani,Άγιος Ιωάννης Σελέμανη,1454,CY
Agios Isidoros,Άγιος Ισίδωρος,6369,CY
Agios Konstantinos,Άγιος Κωνσταντίνος,5143,CY
Agios Mamas,Άγιος Μάμας,5316,CY
Agios Nikolaos Ammochostou,Άγιος Νικόλαος Αμμοχώστου,3301,CY
Agios Nikolaos Pafou,Άγιος Νικόλαος Πάφου,6218,CY
Agios Nikolaos Soleas,Άγιος Νικόλαος Σολέας,1430,CY
Agios Pavlos,Άγιος Παύλος,5142,CY
Agios Sergios,Άγιος Σέργιος,3121,CY
Agios Sozomenos,Άγιος Σωζόμενος,1121,CY
Agios Symeon,Άγιος Συμεών,3350,CY
Agios Theodoros Ammochostou,Άγιος Θεόδωρος Αμμοχώστου,3330,CY
Agios Theodoros Larnakas,Άγιος Θεόδωρος Λάρνακας,4307,CY
Agios Theodoros Lemesou,Άγιος Θεόδωρος Λεμεσού,5360,CY
Agios Theodoros Soleas,Άγιος Θεόδωρος Σολέας,1405,CY
Agios Theodoros Tillirias,Άγιος Θεόδωρος Τιλλιρίας,1466,CY
Agios Therapon,Άγιος Θεράπων,5306,CY
Agios Thomas,Άγιος Θωμάς,5224,CY
Agios Tychon,Άγιος Τύχων,5124,CY
Agios Vasileios,Άγιος Βασίλειος,1248,CY
Agirda,Αγίρδα,2114,CY
Aglantzia or Aglangia,Αγλαντζιά ή Αγλαγγιά,1013,CY
Aglona Parish,Aglonas pagasts,0042400,LV
Agnetheln,Agnita,143682,RO
Agnuak,Anuak,0801,ET
Agnéby-Tiassa,Agnéby-Tiassa,02,CI
Agoe-Nyive,Agoe-Nyive,56,TG
Agona East District,Agona East,0210,GH
Agona West Municipal,Agona West,0211,GH
Agotime Ziope District,Agotime Ziope,0407,GH
Agou,Agou,41,TG
Agra district,Agra,118,IN
Agrado,Agrado,41013,CO
Agram,Grad Zagreb,01333,HR
Agrestina,Agrestina,2600302,BR
Agri,Ağrı,041111,TR
Agribusiness national capital,Sorriso,5107925,BR
Agricolandia,Agricolândia,2200103,BR
Agridaki,Αγριδάκι,2220,CY
Agridia,Αγρίδια,5367,CY
Agrigento province,Agrigento,084,IT
Agrij,Agrij,139937,RO
Agriș,Agriș,179873,RO
Agrokipia,Αγροκηπιά,1212,CY
Agrolandia,Agrolândia,4200200,BR
Agronomovca,Agronomovca,9210000,MD
Agronômica,Agronômica,4200309,BR
Agros,Αγρός,5366,CY
Agryzskiy municipal'nyy rayon,Агрызский муниципальный район,92201,RU
Agua Azul do Norte,Água Azul do Norte,1500347,BR
Agua Blanca,Agua Blanca,2204,GT
Agua Blanca,Agua Blanca,1801,VE
Agua Blanca de Iturbide,Agua Blanca de Iturbide,13004,MX
Agua Boa,Água Boa,3100609,BR
Agua Boa,Água Boa,5100201,BR
Agua Branca,Água Branca,2500106,BR
Agua Branca,Água Branca,2700102,BR
Agua Caliente,Agua Caliente,0401,SV
Agua Clara,Água Clara,5000203,BR
Agua Comprida,Água Comprida,3100708,BR
Agua Doce,Água Doce,4200408,BR
Agua Dulce Municipality,Agua Dulce,30204,MX
Agua Fria,Água Fria,2900405,BR
